nsbpid,nsbsid,nsinconset,nsgpslat,nsgpslong,nsmalename,nsfemalename,nseggs,nschicks,nsfledglings,nsoffspring,nschickid1,nschickid2,nschickid3,nspredationtype,nsnestnomale,nsnestnofemale,m_bicohort,m_biageclass,f_bicohort,f_biageclass,m_bibandcombo,f_bibandcombo
AceGam,2018/2019,5,-41.29875599,174.745574,Ace,Gamble,2,0,0,0,,,,None,1,1,2017/2018,P,2016/2017,P,BG-PGM,RM-YG
AceGam,2018/2019,54,-41.29888197,174.745274,Ace,Gamble,3,2,2,1,BP17589,BP17590,,None,3,3,2017/2018,P,2016/2017,P,BG-PGM,RM-YG
AceGam,2019/2020,9,-41.29882498,174.745346,Ace,Gamble,2,2,1,1,BP19347,BP19348,,None,1,1,2017/2018,P,2016/2017,P,BG-PGM,RM-YG
AceGam,2019/2020,67,-41.29885197,174.745275,Ace,Gamble,3,2,0,0,,,,C,2,2,2017/2018,P,2016/2017,P,BG-PGM,RM-YG
AceGam,2020/2021,15,-41.29850797,174.745437,Ace,Gamble,2,2,2,2,BP19484,BP19485,,None,1,1,2017/2018,P,2016/2017,P,BG-PGM,RM-YG
AceGam,2020/2021,88,-41.29881098,174.745175,Ace,Gamble,2,0,0,0,NA,,,E,2,2,2017/2018,P,2016/2017,P,BG-PGM,RM-YG
AlbVic,2022/2023,-2,-41.29834,174.74753,Albert,Victoria,2,2,2,0,BP22888,BP22889,,None,1,1,2020/2021,FL,2019/2020,P,PM-OR,SM-KB
AlfAnn,2022/2023,32,-41.30156,174.74681,Alfie,Annie,2,0,0,0,,,,None,1,1,2021/2022,P,2020/2021,FL,GM-WR,BR-PM
AlfAnn,2022/2023,62,-41.3014,174.74615,Alfie,Annie,2,1,1,1,BP23455,,,None,2,2,2021/2022,P,2020/2021,FL,GM-WR,BR-PM
AnoInn,2018/2019,8,-41.29805703,174.744864,Anon,Innamed,2,2,1,1,BP17516,BP17517,,None,1,1,2017/2018,A,2015/2016,A,YB-PGM,PBM-GY
AnoInn,2018/2019,52,-41.29810598,174.74545,Anon,Innamed,3,3,3,3,BP17576,BP17578,BP17577,None,2,2,2017/2018,A,2015/2016,A,YB-PGM,PBM-GY
AnoOri,2019/2020,37,-41.29821997,174.745607,Anon,Orio,3,1,1,1,BP19371,,,None,1,2,2017/2018,A,2018/2019,P,YB-PGM,OR-OM
AnoOri,2020/2021,89,-41.29816004,174.745563,Anon,Orio,2,1,1,1,BP22773,,,None,1,2,2017/2018,A,2018/2019,P,YB-PGM,OR-OM
ArtCat,2020/2021,69,-41.30118599,174.746995,Arthur,Cat,2,2,2,1,BP22763,,,None,1,2,2018/2019,P,2012/2013,A,RW-BM,RW-YM
ArtGui,2021/2022,36,-41.30159,174.74687,Arthur,Guinevere,2,2,0,0,NA,,,C,2,1,2018/2019,P,2020/2021,P,RW-BM,OO-PM
ArtGui,2021/2022,67,-41.30121,174.74652,Arthur,Guinevere,2,2,2,2,BP22841,BP22842,,None,3,2,2018/2019,P,2020/2021,P,RW-BM,OO-PM
BowQue,2014/2015,21,-41.30095004,174.745617,Bowie,Queen,2,2,0,0,,,,None,1,1,2012/2013,A+,2012/2013,A+,FPFP-YM,YM-RFP
BowQue,2014/2015,58,-41.30082599,174.745511,Bowie,Queen,2,2,1,1,BP10173,,,None,2,2,2012/2013,A+,2012/2013,A+,FPFP-YM,YM-RFP
BraBil,2022/2023,-1,-41.2967,174.7475,Brad,Billie Jean,2,2,2,0,.UB-UB,,,None,1,1,2020/2021,FL,2017/2018,P,WG-PM,PGM-BR
BraBil,2022/2023,46,0,0,Brad,Billie Jean,2,2,2,2,BP24539,BP24540,,None,2,2,2020/2021,FL,2017/2018,P,WG-PM,PGM-BR
BraBil,2022/2023,92,-41.29688,174.74733,Brad,Billie Jean,2,0,0,0,,,,E,3,3,2020/2021,FL,2017/2018,P,WG-PM,PGM-BR
BruCer,2015/2016,44,-41.29810103,174.74604,Bruiser,Cersei,2,2,2,2,BP10180,BP10181,,None,2,2,2013/2014,J,2014/2015,P,BG-YM,GM-YR
BruCer,2016/2017,6,-41.29811704,174.746158,Bruiser,Cersei,2,0,0,0,,,,None,1,1,2013/2014,J,2014/2015,P,BG-YM,GM-YR
BruCer,2016/2017,36,-41.29788,174.746378,Bruiser,Cersei,3,2,1,1,BP13855,,,None,2,2,2013/2014,J,2014/2015,P,BG-YM,GM-YR
BruCer,2017/2018,13,-41.29794404,174.745736,Bruiser,Cersei,2,2,0,0,,,,None,1,1,2013/2014,J,2014/2015,P,BG-YM,GM-YR
BruCer,2017/2018,48,-41.29809097,174.746251,Bruiser,Cersei,3,2,2,2,BP17402,BP17403,,None,2,2,2013/2014,J,2014/2015,P,BG-YM,GM-YR
BudGeo,2016/2017,0,-41.295982,174.747323,Buddy,Georgie,2,0,0,0,,,,None,1,1,2013/2014,J,2015/2016,FL,BFP-YM,BW-PBM
BudGeo,2016/2017,78,-41.295982,174.747323,Buddy,Georgie,2,1,0,0,,,,None,2,2,2013/2014,J,2015/2016,FL,BFP-YM,BW-PBM
BudGeo,2017/2018,18,-41.29616599,174.747204,Buddy,Georgie,2,2,2,2,BP17412,,,None,1,1,2013/2014,J,2015/2016,FL,BFP-YM,BW-PBM
BudGeo,2017/2018,76,-41.29619298,174.747095,Buddy,Georgie,2,1,1,1,BP17439,,,None,2,2,2013/2014,J,2015/2016,FL,BFP-YM,BW-PBM
BudHol,2018/2019,-1,-41.29638199,174.746849,Buddy,Holly,2,2,0,0,,,,C,1,1,2013/2014,J,2016/2017,A,BFP-YM,KM-YY
BudHol,2018/2019,40,-41.296039,174.747136,Buddy,Holly,2,2,2,1,BP17555,BP17556,,None,2,2,2013/2014,J,2016/2017,A,BFP-YM,KM-YY
BulChe,2019/2020,12,-41.30052399,174.746509,Buller,Chelsea,2,2,0,0,,,,C,1,1,2015/2016,A,2017/2018,P,FPFP-PBM,GG-PGM
BulChe,2019/2020,52,-41.30089204,174.74687,Buller,Chelsea,3,2,1,1,BP19410,BP19411,,None,2,2,2015/2016,A,2017/2018,P,FPFP-PBM,GG-PGM
BulChe,2020/2021,28,-41.30065701,174.746702,Buller,Chelsea,2,2,2,2,BP22710,BP22711,,None,1,1,2015/2016,A,2017/2018,P,FPFP-PBM,GG-PGM
BulChe,2020/2021,93,-41.30076203,174.746813,Buller,Chelsea,2,2,2,1,BP19417,BP19418,,None,2,2,2015/2016,A,2017/2018,P,FPFP-PBM,GG-PGM
BulChe,2021/2022,6,-41.30058,174.74672,Buller,Chelsea,2,2,2,2,BP19423,BP19424,,None,1,1,2015/2016,A,2017/2018,P,FPFP-PBM,GG-PGM
BulChe,2021/2022,78,-41.30068,174.74652,Buller,Chelsea,3,2,2,2,BP22858,BP22857,,None,2,2,2015/2016,A,2017/2018,P,FPFP-PBM,GG-PGM
BulChe,2022/2023,10,-41.30069,174.7466,Buller,Chelsea,2,2,1,0,,,,None,1,1,2015/2016,A,2017/2018,P,FPFP-PBM,GG-PGM
BulChe,2022/2023,58,-41.30062,174.7464,Buller,Chelsea,3,0,0,0,,,,None,2,2,2015/2016,A,2017/2018,P,FPFP-PBM,GG-PGM
BulChe,2022/2023,76,-41.3005,174.7466,Buller,Chelsea,3,0,0,0,,,,E,3,3,2015/2016,A,2017/2018,P,FPFP-PBM,GG-PGM
BulHui,2016/2017,29,-41.30049298,174.746472,Buller,Huia,3,3,2,1,BP13845,BP13846,,None,1,1,2015/2016,A,2015/2016,P,FPFP-PBM,PBM-RFP
BumBee,2014/2015,25,-41.29998403,174.745638,Bumble,Bee,2,2,2,1,BP10151,BP10150,,None,1,1,2006/2007,A,2012/2013,A,OM-YK,PBW-YM
BumBee,2015/2016,40,-41.29995704,174.745427,Bumble,Bee,4,1,1,1,BP10145,,,None,1,1,2006/2007,A,2012/2013,A,OM-YK,PBW-YM
BumBee,2015/2016,92,-41.299994,174.745154,Bumble,Bee,2,1,1,0,BP13809,,,None,2,2,2006/2007,A,2012/2013,A,OM-YK,PBW-YM
BumBee,2016/2017,13,-41.29991697,174.74548,Bumble,Bee,2,1,0,0,,,,C,1,1,2006/2007,A,2012/2013,A,OM-YK,PBW-YM
BumBee,2016/2017,48,-41.29988696,174.745817,Bumble,Bee,3,3,3,2,BP13858,BP13859,BP13860,None,2,2,2006/2007,A,2012/2013,A,OM-YK,PBW-YM
CapFlo,2022/2023,29,-41.30123,174.74629,Captain,Florence,2,2,0,0,,,,None,1,1,2021/2022,P,2015/2016,A,GM-RR,PBM-PBB
CapFlo,2022/2023,63,-41.30114,174.74637,Captain,Florence,3,2,0,0,,,,None,2,2,2021/2022,P,2015/2016,A,GM-RR,PBM-PBB
CapFlo,2022/2023,97,-41.30128,174.74646,Captain,Florence,2,0,0,0,,,,None,3,3,2021/2022,P,2015/2016,A,GM-RR,PBM-PBB
ChaAng,2021/2022,19,-41.29724,174.74518,Charlie,Angel,2,0,0,0,NA,,,None,1,1,2019/2020,P,2020/2021,A,SM-BG,PM-WW
ChaAng,2021/2022,31,-41.29744,174.74489,Charlie,Angel,2,2,2,1,BP22795,BP22796,,None,2,2,2019/2020,P,2020/2021,A,SM-BG,PM-WW
ChaAng,2022/2023,14,-41.29737,174.74487,Charlie,Angel,2,2,2,2,BP24513,BP24515,,None,1,1,2019/2020,P,2020/2021,A,SM-BG,PM-WW
ChaAng,2022/2023,65,-41.29729,174.74512,Charlie,Angel,2,2,2,2,BP24558,BP24557,,None,2,2,2019/2020,P,2020/2021,A,SM-BG,PM-WW
ChaApp,2018/2019,14,-41.29845802,174.746229,Champ,Apple,2,1,1,1,BP17537,,,None,1,1,2010/2011,A+,2016/2017,FL,KM-RY,RM-OW
ChaApp,2018/2019,60,-41.29840303,174.745909,Champ,Apple,3,3,3,2,BP19301,BP19302,BP19303,None,2,2,2010/2011,A+,2016/2017,FL,KM-RY,RM-OW
ChaApp,2019/2020,27,-41.29817404,174.746332,Champ,Apple,3,2,2,2,BP19367,BP19368,,None,2,2,2010/2011,A+,2016/2017,FL,KM-RY,RM-OW
ChaLad,2014/2015,0,-41.29856204,174.746116,Champ,Lady,2,0,0,0,,,,None,1,1,2010/2011,A+,2013/2014,A,KM-RY,RK-YM
ChaLad,2014/2015,52,-41.298513,174.745915,Champ,Lady,2,2,2,2,BP10171,BP10172,,None,2,2,2010/2011,A+,2013/2014,A,KM-RY,RK-YM
ChaLad,2015/2016,23,-41.29834604,174.746116,Champ,Lady,2,0,0,0,,,,E,1,1,2010/2011,A+,2013/2014,A,KM-RY,RK-YM
ChaLad,2015/2016,52,-41.29838099,174.745908,Champ,Lady,2,2,2,1,BP10186,BP10187,,None,2,2,2010/2011,A+,2013/2014,A,KM-RY,RK-YM
ChaLad,2016/2017,26,-41.29873998,174.745807,Pie,Lady,2,2,2,2,BP13841,BP13843,,,1,1,2015/2016,A,2013/2014,A,PBM-WB,RK-YM
ChaMay,2020/2021,44,-41.301388,174.745074,Chaos,Mayhem,2,2,2,1,BP22725,BP22726,,None,1,1,2019/2020,P,2016/2017,A,YR-SM,GB-RM
ChaMay,2021/2022,23,-41.3014,174.74507,Chaos,Mayhem,2,2,2,2,BP22791,BP22792,,None,1,1,2019/2020,P,2016/2017,A,YR-SM,GB-RM
ChaMay,2021/2022,83,-41.30161,174.74554,Chaos,Mayhem,2,1,1,1,BP22882,,,None,2,2,2019/2020,P,2016/2017,A,YR-SM,GB-RM
ChaMay,2022/2023,30,-41.30127,174.74529,Chaos,Mayhem,2,2,2,2,BP24501,BP24502,,None,1,1,2019/2020,P,2016/2017,A,YR-SM,GB-RM
ChaMay,2022/2023,0,-41.3012,174.74556,Chaos,Mayhem,0,0,0,0,,,,None,2,2,2019/2020,P,2016/2017,A,YR-SM,GB-RM
ChaVic,2021/2022,21,-41.29834,174.74756,Champ,Victoria,2,2,2,1,BP19430,BP22806,,None,1,1,2010/2011,A+,2019/2020,P,KM-RY,SM-KB
ChaVic,2021/2022,68,-41.29856,174.74739,Champ,Victoria,2,2,1,0,,,,None,2,2,2010/2011,A+,2019/2020,P,KM-RY,SM-KB
ChaYoo,2017/2018,48,-41.29830698,174.746303,Champ,Yoobee,2,1,1,1,BP17404,,,None,1,1,2010/2011,A+,2012/2013,A,KM-RY,UB-UB
CheLad,2016/2017,82,-41.298657,174.747193,Cheese,Lady,2,2,2,2,BP13896,,,None,4,2,2007/2008,A,2013/2014,A,FPM-YPB,RK-YM
CheMac,2014/2015,9,-41.29849398,174.74714,Cheese,Mac,2,1,1,1,B100095,,,None,1,1,2007/2008,A,2006/2007,A,FPM-YPB,OM-YW
CheMac,2015/2016,11,-41.29852801,174.747106,Cheese,Mac,2,0,0,0,,,,None,1,1,2007/2008,A,2006/2007,A,FPM-YPB,OM-YW
CheMac,2015/2016,77,-41.29855298,174.746995,Cheese,Mac,2,0,0,0,,,,None,2,2,2007/2008,A,2006/2007,A,FPM-YPB,OM-YW
CheMac,2015/2016,85,-41.29854703,174.747132,Cheese,Mac,2,0,0,0,,,,None,3,3,2007/2008,A,2006/2007,A,FPM-YPB,OM-YW
ChiMus,2021/2022,22,-41.30087,174.74226,Chilli,Mustard,2,0,0,0,NA,,,E,1,1,2019/2020,P,2018/2019,A,BB-SM,BM-GO
ChiMus,2021/2022,35,-41.30105,174.74228,Chilli,Mustard,3,3,3,3,BP22810,BP22811,BP22813,None,2,2,2019/2020,P,2018/2019,A,BB-SM,BM-GO
ChiPep,2020/2021,42,-41.30081702,174.742433,Chilli,Pepper,2,0,0,0,NA,,,E,1,1,2019/2020,P,2015/2016,FL,BB-SM,PBM-WY
ChiPep,2020/2021,73,-41.301072,174.742624,Chilli,Pepper,2,1,0,0,NA,,,None,2,2,2019/2020,P,2015/2016,FL,BB-SM,PBM-WY
ChoOri,2021/2022,28,-41.29809,174.74619,Chonk,Orio,3,1,0,0,NA,,,None,1,1,2019/2020,J,2018/2019,P,SM-YB,OR-OM
ChoOri,2021/2022,59,-41.29814,174.74503,Chonk,Orio,3,1,0,0,BP22840,,,None,2,2,2019/2020,J,2018/2019,P,SM-YB,OR-OM
CliMcF,2017/2018,76,-41.29989903,174.74543,Clive,McFly,3,3,2,2,BP17421,BP17422,BP17423,None,1,2,2016/2017,P,2015/2016,A,RM-BG,PBM-FPW
CliMcF,2018/2019,9,-41.29973098,174.745224,Clive,McFly,2,2,2,1,BP17587,,,None,1,1,2016/2017,P,2015/2016,A,RM-BG,PBM-FPW
CliMcF,2018/2019,65,-41.29994002,174.744964,Clive,McFly,3,0,0,0,,,,E,2,2,2016/2017,P,2015/2016,A,RM-BG,PBM-FPW
CliMcF,2018/2019,83,-41.29999199,174.745082,Clive,McFly,3,2,2,2,BP19330,BP19331,,None,3,3,2016/2017,P,2015/2016,A,RM-BG,PBM-FPW
CliMcF,2019/2020,20,-41.29973098,174.745224,Clive,McFly,2,2,2,2,UB00005,BP19394,,None,1,1,2016/2017,P,2015/2016,A,RM-BG,PBM-FPW
CliMcF,2020/2021,18,-41.29978202,174.745449,Clive,McFly,2,0,0,0,NA,,,E,1,1,2016/2017,P,2015/2016,A,RM-BG,PBM-FPW
CliMcF,2020/2021,35,-41.29993399,174.745093,Clive,McFly,3,2,2,0,BP22720,BP22721,,None,2,2,2016/2017,P,2015/2016,A,RM-BG,PBM-FPW
CliNic,2021/2022,26,-41.29954,174.74554,Clive,Nicky,2,1,1,1,BP22839,,,None,1,1,2016/2017,P,2020/2021,P,RM-BG,PM-BO
CliNic,2021/2022,73,-41.29955,174.74564,Clive,Nicky,2,1,1,0,BP22856,,,None,2,2,2016/2017,P,2020/2021,P,RM-BG,PM-BO
CloAma,2017/2018,48,-41.29683796,174.747211,Clooney,Amal,2,0,0,0,,,,E,1,1,2016/2017,P,2016/2017,A,OB-RM,RM-GR
CloAma,2017/2018,74,-41.29619901,174.747043,Clooney,Amal,2,2,1,1,BP17420,,,None,2,2,2016/2017,P,2016/2017,A,OB-RM,RM-GR
CloBil,2021/2022,22,-41.29662,174.74774,Clooney,Billie Jean,2,0,0,0,NA,,,E,1,1,2016/2017,P,2017/2018,P,OB-RM,PGM-BR
CloBil,2021/2022,45,-41.29683,174.74744,Clooney,Billie Jean,3,3,3,3,BP22820,BP22821,BP22822,None,2,2,2016/2017,P,2017/2018,P,OB-RM,PGM-BR
CloUB,2018/2019,24,-41.296615,174.747974,Clooney,UB Clooney,2,1,1,1,BP17543,,,None,1,1,2016/2017,P,2018/2019,A,OB-RM,BM-RO
CloUB,2019/2020,0,-41.296557,174.74757,Clooney,UB Clooney,2,2,2,2,BP19376,BP19377,,None,1,1,2016/2017,P,2018/2019,A,OB-RM,BM-RO
CloYS-,2020/2021,41,-41.29665499,174.747503,Clooney,Penny,2,2,2,2,BP22737,BP22738,,None,1,1,2016/2017,P,2019/2020,A,OB-RM,YS-SM
CooApr,2016/2017,24,-41.30099899,174.74516,Cookie,April,2,2,0,0,,,,None,1,1,2015/2016,P,2013/2014,A,WFP-PBM,YM-RG
CooDap,2016/2017,96,-41.300367,174.745182,Cooper,Daphne,2,2,2,1,BP13892,BP13893,,None,1,3,2015/2016,P,2012/2013,A,PBW-PBM,YG-YM
CooDap,2017/2018,23,-41.30038803,174.744974,Cooper,Daphne,2,2,1,1,BP11382,,,None,1,1,2015/2016,P,2012/2013,A,PBW-PBM,YG-YM
DarKit,2015/2016,67,-41.29778302,174.746862,Darcy,Kitty,2,2,2,2,BP10199,BP10200,,None,2,1,2007/2008,A,2014/2015,A,RY-FPM,YM-YY
DarLiz,2014/2015,0,-41.29774597,174.746706,Darcy,Lizzie,2,2,1,1,B100090,,,None,1,1,2007/2008,A,2012/2013,A,RY-FPM,FPR-YM
DarLiz,2014/2015,74,-41.29782099,174.746844,Darcy,Lizzie,2,2,2,2,BP10113,BP10114,,None,2,2,2007/2008,A,2012/2013,A,RY-FPM,FPR-YM
DarLiz,2015/2016,14,-41.29765604,174.746691,Darcy,Lizzie,2,2,0,0,,,,C,1,1,2007/2008,A,2012/2013,A,RY-FPM,FPR-YM
DonApr,2015/2016,77,-41.30119496,174.745011,Donatello,April,2,2,0,0,,,,C,3,2,2013/2014,J,2013/2014,A,YM-FPG,YM-RG
DonBum,2014/2015,69,-41.30126,174.745402,Donatello,Bumps,2,0,0,0,,,,E,1,1,2013/2014,J,2013/2014,J,YM-FPG,BPB-YM
DonFlo,2016/2017,32,-41.301519,174.745162,Donatello,Florence,2,2,2,2,BP13849,BP13850,,None,1,1,2013/2014,J,2015/2016,A,YM-FPG,PBM-PBB
DonFlo,2017/2018,16,-41.30150903,174.745382,Donatello,Florence,2,2,2,2,BP11380,BP11381,,None,1,1,2013/2014,J,2015/2016,A,YM-FPG,PBM-PBB
DonFlo,2018/2019,5,-41.30172604,174.744781,Donatello,Florence,2,2,2,1,BP17520,BP17521,,None,1,1,2013/2014,J,2015/2016,A,YM-FPG,PBM-PBB
DonQue,2015/2016,3,-41.30136101,174.745547,Donatello,Queen,2,2,1,1,BP11307,,,None,1,1,2013/2014,J,2012/2013,A+,YM-FPG,YM-RFP
DonQue,2015/2016,60,-41.30113897,174.745451,Donatello,Queen,3,2,0,0,,,,C,2,2,2013/2014,J,2012/2013,A+,YM-FPG,YM-RFP
DonQue,2015/2016,92,-41.301259,174.745424,Donatello,Queen,2,2,2,2,BP13806,BP13807,,None,4,3,2013/2014,J,2012/2013,A+,YM-FPG,YM-RFP
DraMrs,2017/2018,81,-41.29952,174.74547,Draco,Mrs Draco,2,2,1,1,BP17446,,,None,2,1,2014/2015,P,2016/2017,A,GW-GM,RM-GG
DraPan,2015/2016,57,-41.29919101,174.745461,Draco,Pansy,2,0,0,0,,,,E,1,1,2014/2015,P,2014/2015,A,GW-GM,BG-GM
DraPan,2015/2016,77,-41.29935002,174.745894,Draco,Pansy,2,1,1,1,BP13804,,,None,2,2,2014/2015,P,2014/2015,A,GW-GM,BG-GM
DraPan,2016/2017,2,-41.29946804,174.745272,Draco,Pansy,2,0,0,0,,,,E,1,1,2014/2015,P,2014/2015,A,GW-GM,BG-GM
DraPan,2016/2017,21,-41.29913704,174.745258,Draco,Pansy,3,3,3,3,BP13838,BP13839,BP13840,None,2,2,2014/2015,P,2014/2015,A,GW-GM,BG-GM
DraPan,2017/2018,17,-41.299562,174.745617,Draco,Pansy,2,1,1,1,BP11375,,,None,1,1,2014/2015,P,2014/2015,A,GW-GM,BG-GM
DroLol,2022/2023,81,-41.29847,174.74725,Dropsy,Lolly,2,2,1,1,BP24571,,,None,3,2,2020/2021,FL,UNKNOWN,,BG-PM,UNKNOWN
DroSly,2021/2022,79,-41.29861,174.74699,Dropsy,Sly,2,2,2,2,BP22862,BP22863,,None,1,2,2020/2021,FL,2021/2022,J,BG-PM,PM-YG
DroSly,2022/2023,32,-41.29845,174.74673,Dropsy,Sly,2,1,0,0,,,,C,1,1,2020/2021,FL,2021/2022,J,BG-PM,PM-YG
DroSly,2022/2023,35,-41.2985,174.74716,Dropsy,Sly,2,2,0,0,,,,C,2,2,2020/2021,FL,2021/2022,J,BG-PM,PM-YG
DucHav,2022/2023,40,-41.3004,174.74451,Duck,Havana,2,2,2,1,BP24543,,,None,1,1,2017/2018,A,2020/2021,P,PGM-OW,YG-PM
DucMad,2020/2021,19,-41.30047001,174.744376,Duck,Madonna,2,2,1,0,NA,,,None,1,1,2017/2018,A,2015/2016,A,PGM-OW,PBM-WK
DucMad,2020/2021,70,-41.30047001,174.744376,Duck,Madonna,3,3,3,3,BP22764,BP22765,UB00002,None,2,2,2017/2018,A,2015/2016,A,PGM-OW,PBM-WK
DucMad,2021/2022,23,-41.3002,174.74431,Duck,Madonna,2,0,0,0,NA,,,E,1,1,2017/2018,A,2015/2016,A,PGM-OW,PBM-WK
DucMad,2021/2022,39,-41.30035,174.74449,Duck,Madonna,3,0,0,0,NA,,,E,2,2,2017/2018,A,2015/2016,A,PGM-OW,PBM-WK
DucMad,2021/2022,62,-41.30047,174.74438,Duck,Madonna,3,0,0,0,NA,,,E,3,3,2017/2018,A,2015/2016,A,PGM-OW,PBM-WK
