nsbpid,nsbsid,nsinconset,nsgpslat,nsgpslong,nsmalename,nsfemalename,nseggs,nschicks,nsfledglings,nsoffspring,nschickid1,nschickid2,nschickid3,nspredationtype,nsnestnomale,nsnestnofemale,m_bicohort,m_biageclass,f_bicohort,f_biageclass,m_bibandcombo,f_bibandcombo
JayCho,2018/2019,70,-41.30009601,174.747074,Jay,Chook,3,2,2,2,BP19318,BP19319,,None,2,2,2016/2017,P,2016/2017,P,RM-RPB,RM-FPFP
JaySki,2020/2021,15,-41.29989501,174.747553,Jay,Skip,2,2,2,2,BP19488,BP19489,,None,1,1,2016/2017,P,2017/2018,A,RM-RPB,WY-PGM
JaySki,2020/2021,79,0,0,Jay,Skip,2,2,2,2,BP22772,,,None,2,2,2016/2017,P,2017/2018,A,RM-RPB,WY-PGM
JaySte,2021/2022,16,-41.30032,174.7476,Jay,Stella,2,2,2,2,BP22833,BP22832,,None,1,1,2016/2017,P,2018/2019,P,RM-RPB,WW-OM
JaySte,2021/2022,88,-41.30025,174.74785,Jay,Stella,2,2,2,2,BP22868,BP22869,,None,2,2,2016/2017,P,2018/2019,P,RM-RPB,WW-OM
JaySte,2022/2023,14,-41.30019,174.74748,Jay,Stella,2,0,0,0,,,,None,1,1,2016/2017,P,2018/2019,P,RM-RPB,WW-OM
JaySte,2022/2023,48,-41.30042,174.7476,Jay,Stella,2,2,2,1,BP24544,,,None,2,2,2016/2017,P,2018/2019,P,RM-RPB,WW-OM
JetAir,2015/2016,59,-41.300037,174.746146,Jetscream,Air,1,0,0,0,,,,None,2,1,2012/2013,A,2007/2008,A,WPB-YM,WPB-OM
JetAir,2015/2016,71,-41.30034998,174.746401,Jetscream,Air,2,1,1,1,BP13803,,,None,3,2,2012/2013,A,2007/2008,A,WPB-YM,WPB-OM
JetAir,2016/2017,19,-41.300252,174.746113,Jetscream,Air,2,0,0,0,,,,None,1,1,2012/2013,A,2007/2008,A,WPB-YM,WPB-OM
JetAir,2016/2017,71,-41.299793,174.745955,Jetscream,Air,2,1,1,1,BP13879,,,None,2,2,2012/2013,A,2007/2008,A,WPB-YM,WPB-OM
JetAir,2017/2018,43,-41.300008,174.745905,Jetscream,Air,2,2,2,2,BP11397,BP11398,,None,1,1,2012/2013,A,2007/2008,A,WPB-YM,WPB-OM
JetAir,2018/2019,30,-41.299562,174.746028,Jetscream,Air,1,0,0,0,,,,E,1,1,2012/2013,A,2007/2008,A,WPB-YM,WPB-OM
JetAir,2018/2019,60,-41.29948899,174.746033,Jetscream,Air,3,2,1,1,BP19307,BP19308,,None,2,2,2012/2013,A,2007/2008,A,WPB-YM,WPB-OM
JetFlo,2020/2021,77,-41.29931699,174.745915,Jetscream,Florence,3,0,0,0,,,,None,1,2,2012/2013,A,2015/2016,A,WPB-YM,PBM-PBB
JetMeg,2014/2015,28,-41.29990297,174.745976,Jetscream,Megatron,2,2,2,2,BP10165,BP10164,,None,1,1,2012/2013,A,2012/2013,A+,WPB-YM,YM-GW
JetMeg,2015/2016,4,-41.29999199,174.747245,Jetscream,Megatron,2,2,0,0,,,,None,1,1,2012/2013,A,2012/2013,A+,WPB-YM,YM-GW
JinPat,2022/2023,3,-41.29971,174.74657,Jinglebell,Patti,2,2,0,0,,,,C,1,1,2020/2021,FL,2020/2021,P,PM-GR,RW-PM
JinPat,2022/2023,37,-41.29984,174.74625,Jinglebell,Patti,2,0,0,0,,,,None,2,2,2020/2021,FL,2020/2021,P,PM-GR,RW-PM
JinPat,2022/2023,68,-41.29973,174.74677,Jinglebell,Patti,3,3,2,2,BP24535,BP24536,BP24534,None,3,3,2020/2021,FL,2020/2021,P,PM-GR,RW-PM
JunBen,2015/2016,62,-41.29832701,174.747673,Junior,Bendy leg,2,2,2,2,BP10191,BP10192,,None,1,1,2014/2015,P,UNKNOWN,,BY-GM,UNKNOWN
KahHaz,2021/2022,388,-41.30005,174.7439,Kahurangi,Hazel,2,2,0,0,NA,,,None,1,1,2019/2020,P,2020/2021,A,SM-BB,GY-PM
KahKur,2020/2021,28,-41.30005402,174.743899,Kahurangi,Kura,2,1,1,1,BP19412,,,None,1,1,2019/2020,P,2019/2020,A,SM-BB,RS-SM
KahKur,2021/2022,71,-41.29971,174.74428,Kahurangi,Kura,3,3,2,2,BP22851,BP22849,,None,2,2,2019/2020,P,2019/2020,A,SM-BB,RS-SM
KetMus,2019/2020,75,-41.30060798,174.742932,Ketchup,Mustard,2,2,0,0,,,,C,2,2,2018/2019,P,2018/2019,A,OM-GW,BM-GO
KetMus,2020/2021,23,-41.30040698,174.742677,Ketchup,Mustard,2,0,0,0,NA,,,None,1,1,2018/2019,P,2018/2019,A,OM-GW,BM-GO
LeoMar,2014/2015,17,-41.30134902,174.746163,Leonardo,Marvel,2,1,1,1,BP10154,,,None,1,1,2012/2013,A+,2012/2013,A+,YM-PBG,YM-WG
LeoMar,2015/2016,0,-41.30149604,174.745887,Leonardo,Marvel,2,2,0,0,BP11306,,,None,1,1,2012/2013,A+,2012/2013,A+,YM-PBG,YM-WG
LeoMar,2015/2016,44,-41.30147399,174.746255,Leonardo,Marvel,3,3,3,3,BP10183,BP10184,BP10185,None,2,2,2012/2013,A+,2012/2013,A+,YM-PBG,YM-WG
LeoMar,2016/2017,6,-41.30131801,174.74638,Leonardo,Marvel,2,2,2,1,BP13831,BP13832,,None,1,1,2012/2013,A+,2012/2013,A+,YM-PBG,YM-WG
LucBin,2014/2015,13,-41.29867896,174.745692,Lucky,Bingley,2,2,2,2,BP10107,BP10109,,None,1,1,2012/2013,A,2012/2013,A,BY-YM,PBY-YM
LucBin,2015/2016,3,-41.29882799,174.745531,Lucky,Bingley,2,2,2,2,BP10179,BP13805,,None,1,1,2012/2013,A,2012/2013,A,BY-YM,PBY-YM
LucBin,2015/2016,78,-41.29885599,174.745578,Lucky,Bingley,2,0,0,0,,,,None,2,2,2012/2013,A,2012/2013,A,BY-YM,PBY-YM
LucBin,2016/2017,14,-41.29872699,174.745583,Lucky,Bingley,2,0,0,0,,,,None,1,1,2012/2013,A,2012/2013,A,BY-YM,PBY-YM
LucBin,2016/2017,44,-41.29852298,174.745614,Lucky,Bingley,3,2,2,2,BP13856,BP13857,,None,2,2,2012/2013,A,2012/2013,A,BY-YM,PBY-YM
LucGam,2017/2018,15,-41.298929,174.745403,Lucky,Gamble,2,2,2,2,BP11373,BP11374,,None,1,1,2012/2013,A,2016/2017,P,BY-YM,RM-YG
MacLou,2018/2019,49,-41.30086698,174.746305,Machiavelli,Louise,2,0,0,0,,,,None,1,1,2016/2017,P,2017/2018,FL,RM-FPG,PGM-RG
MacLou,2018/2019,91,-41.301029,174.746187,Machiavelli,Louise,2,0,0,0,,,,None,2,2,2016/2017,P,2017/2018,FL,RM-FPG,PGM-RG
MacMar,2019/2020,20,-41.30091098,174.746207,Machiavelli,Marvel,2,0,0,0,,,,E,1,1,2016/2017,P,2012/2013,A+,RM-FPG,YM-WG
MacMar,2019/2020,40,-41.30086597,174.746035,Machiavelli,Marvel,3,3,2,2,BP19380,BP19381,BP19382,None,2,2,2016/2017,P,2012/2013,A+,RM-FPG,YM-WG
MacMar,2020/2021,26,-41.300497,174.745998,Machiavelli,Marvel,2,0,0,0,NA,,,E,1,1,2016/2017,P,2012/2013,A+,RM-FPG,YM-WG
MacMar,2020/2021,42,-41.30082901,174.746162,Machiavelli,Marvel,3,0,0,0,NA,,,None,2,2,2016/2017,P,2012/2013,A+,RM-FPG,YM-WG
MacMar,2020/2021,77,-41.30085097,174.745724,Machiavelli,Marvel,3,3,2,1,BP22742,BP22741,BP22740,None,3,3,2016/2017,P,2012/2013,A+,RM-FPG,YM-WG
MacMar,2021/2022,14,-41.30116,174.74599,Machiavelli,Marvel,2,2,2,2,BP19427,BP19428,,None,1,1,2016/2017,P,2012/2013,A+,RM-FPG,YM-WG
MacMar,2021/2022,73,-41.30074,174.74632,Machiavelli,Marvel,3,2,2,2,BP22874,BP22873,,None,2,2,2016/2017,P,2012/2013,A+,RM-FPG,YM-WG
MacMar,2022/2023,44,-41.30117,174.74591,Machiavelli,Marvel,1,1,1,1,BP24512,,,None,1,1,2016/2017,P,2012/2013,A+,RM-FPG,YM-WG
MacMay,2017/2018,47,-41.30143904,174.745785,Machiavelli,Mayhem,2,2,1,1,BP17408,BP17409,,None,1,1,2016/2017,P,2016/2017,A,RM-FPG,GB-RM
MarDoc,2014/2015,24,-41.30014697,174.744566,Marty,Doc,2,2,2,2,BP10102,BP10103,,None,1,1,2012/2013,A+,2011/2012,A,YFP-YM,KM-FPG
MarDoc,2015/2016,14,-41.30032601,174.744232,Marty,Doc,2,0,0,0,,,,None,1,1,2012/2013,A+,2011/2012,A,YFP-YM,KM-FPG
MarDoc,2015/2016,25,-41.30078198,174.744035,Marty,Doc,2,2,2,2,BP11319,BP11320,,None,2,2,2012/2013,A+,2011/2012,A,YFP-YM,KM-FPG
MarMcF,2016/2017,29,-41.30004203,174.7445,Marty,McFly,2,0,0,0,,,,None,1,1,2012/2013,A+,2015/2016,A,YFP-YM,PBM-FPW
MarMcF,2016/2017,58,-41.30002904,174.744547,Marty,McFly,2,2,2,2,BP13891,BP13895,,None,2,2,2012/2013,A+,2015/2016,A,YFP-YM,PBM-FPW
MarMcF,2017/2018,19,-41.30041997,174.744553,Marty,McFly,2,2,2,2,BP11376,BP11377,,None,1,1,2012/2013,A+,2015/2016,A,YFP-YM,PBM-FPW
MarSky,2018/2019,17,-41.30038502,174.744467,Marty,Sky,2,0,0,0,,,,None,1,1,2012/2013,A+,2017/2018,P,YFP-YM,PBPB-PGM
MicMon,2016/2017,29,-41.30192301,174.743133,Michaelangelo,Mona,2,1,0,0,,,,None,1,1,2012/2013,A+,2015/2016,A,OG-YM,PBM-RB
MicMon,2016/2017,62,-41.30148103,174.743344,Michaelangelo,Mona,3,2,1,1,BP13868,,,None,2,2,2012/2013,A+,2015/2016,A,OG-YM,PBM-RB
MicMon,2017/2018,27,-41.30213398,174.743126,Michaelangelo,Mona,2,0,0,0,,,,E,1,1,2012/2013,A+,2015/2016,A,OG-YM,PBM-RB
MicMon,2017/2018,40,-41.30214899,174.743362,Michaelangelo,Mona,2,2,0,0,,,,C,2,2,2012/2013,A+,2015/2016,A,OG-YM,PBM-RB
MicMon,2017/2018,82,-41.302453,174.743544,Michaelangelo,Mona,2,0,0,0,,,,E,3,3,2012/2013,A+,2015/2016,A,OG-YM,PBM-RB
MicMon,2017/2018,100,-41.30208696,174.743363,Michaelangelo,Mona,2,2,2,1,BP17437,BP17438,,None,4,4,2012/2013,A+,2015/2016,A,OG-YM,PBM-RB
MicRog,2014/2015,96,-41.30191002,174.74302,Michaelangelo,Rogue,2,2,2,0,BP10135,BP10136,,None,0,0,2012/2013,A+,2013/2014,A,OG-YM,YM-OO
MicRog,2015/2016,63,-41.30180298,174.74332,Michaelangelo,Rogue,2,2,2,1,BP10194,BP10195,,None,1,1,2012/2013,A+,2013/2014,A,OG-YM,YM-OO
MisMay,2018/2019,23,-41.30139797,174.745649,Mischief,Mayhem,2,0,0,0,,,,Y,1,1,2016/2017,P,2016/2017,A,RM-RFP,GB-RM
MisMay,2018/2019,51,-41.30155899,174.745526,Mischief,Mayhem,3,0,0,0,,,,Y,2,2,2016/2017,P,2016/2017,A,RM-RFP,GB-RM
MisQue,2017/2018,40,-41.30098801,174.746166,Mischief,Queen,2,2,2,2,BP17424,BP17425,,None,1,1,2016/2017,P,2012/2013,A+,RM-RFP,YM-RFP
MufSar,2015/2016,6,-41.30140803,174.744164,Mufasa,Sarabi,2,2,2,2,BP11302,BP11303,,None,1,1,2013/2014,A,2014/2015,A,YM-YPB,YM-OPB
MufSar,2015/2016,82,-41.301503,174.7445,Mufasa,Sarabi,2,0,0,0,,,,E,2,2,2013/2014,A,2014/2015,A,YM-YPB,YM-OPB
MufSar,2016/2017,6,-41.30148799,174.744041,Mufasa,Sarabi,2,2,1,1,BP13828,,,None,1,1,2013/2014,A,2014/2015,A,YM-YPB,YM-OPB
MufSar,2016/2017,80,-41.301432,174.744365,Mufasa,Sarabi,3,3,3,3,BP13863,BP13862,BP13861,None,2,2,2013/2014,A,2014/2015,A,YM-YPB,YM-OPB
NepHon,2021/2022,24,-41.30006,174.74324,Neptune,Honey,3,2,2,2,BP22789,BP22790,,None,1,1,2020/2021,P,2020/2021,P,PM-WB,GB-PM
OGJan,2014/2015,14,-41.29735303,174.745576,OG,Jane Doe,2,2,1,1,BP10162,,,None,1,1,2011/2012,A,UNKNOWN,,OG-KM,UNKNOWN
OGJan,2014/2015,70,-41.29714097,174.745924,OG,Jane Doe,3,0,0,0,,,,E,2,2,2011/2012,A,UNKNOWN,,OG-KM,UNKNOWN
OGTot,2016/2017,29,-41.29708498,174.745947,OG,Toto,3,0,0,0,,,,E,1,2,2011/2012,A,2014/2015,A,OG-KM,YM-RR
OM-BY-,2020/2021,44,0,0,Oscar,Lucy,2,1,1,1,BP22770,,,None,1,1,2018/2019,FL,2019/2020,A,OM-YO,BY-PM
OptFox,2014/2015,42,-41.30067201,174.746266,Optimus Prime,Fox,2,1,1,1,BP10170,,,None,1,1,2013/2014,J,2013/2014,J,PBR-YM,YM-FPY
OptFox,2015/2016,32,-41.30054201,174.746068,Optimus Prime,Fox,2,0,0,0,,,,E,1,1,2013/2014,J,2013/2014,J,PBR-YM,YM-FPY
OptFox,2015/2016,53,-41.300483,174.745493,Optimus Prime,Fox,2,2,2,1,BP13814,,,None,2,2,2013/2014,J,2013/2014,J,PBR-YM,YM-FPY
OptMar,2016/2017,75,-41.3009,174.745526,Optimus Prime,Marvel,3,1,0,0,,,,C,1,2,2013/2014,J,2012/2013,A+,PBR-YM,YM-WG
OptMar,2016/2017,111,-41.30099203,174.74574,Optimus Prime,Marvel,2,0,0,0,,,,None,2,3,2013/2014,J,2012/2013,A+,PBR-YM,YM-WG
OptMar,2017/2018,6,-41.301001,174.745808,Optimus Prime,Marvel,2,2,2,2,BP11365,BP11366,,None,1,1,2013/2014,J,2012/2013,A+,PBR-YM,YM-WG
OptMar,2017/2018,83,-41.30095499,174.745715,Optimus Prime,Marvel,2,2,1,0,BP17431,BP17432,,C,2,2,2013/2014,J,2012/2013,A+,PBR-YM,YM-WG
OptMar,2018/2019,28,-41.30057302,174.745736,Optimus Prime,Marvel,2,0,0,0,,,,None,1,1,2013/2014,J,2012/2013,A+,PBR-YM,YM-WG
OptMar,2018/2019,64,-41.30126797,174.745731,Optimus Prime,Marvel,3,2,1,1,BP19312,BP19313,,None,2,2,2013/2014,J,2012/2013,A+,PBR-YM,YM-WG
OriHui,2017/2018,25,-41.30073404,174.746208,Orion,Huia,2,2,2,1,BP11385,BP11386,,None,1,1,2015/2016,FL,2015/2016,P,PBR-PBM,PBM-RFP
OriThe,2018/2019,41,-41.30051997,174.745966,Orion,Thelma,2,2,2,2,BP17568,BP17569,,None,1,1,2015/2016,FL,2017/2018,P,PBR-PBM,RG-PGM
OscLuc,2021/2022,16,-41.29906,174.74692,Oscar,Lucy,2,1,1,1,UB00002,,,None,1,2,2018/2019,FL,2019/2020,A,OM-YO,BY-PM
OscLuc,2022/2023,4,-41.2991,174.74709,Oscar,Lucy,2,2,2,2,BP23451,BP23452,,None,1,1,2018/2019,FL,2019/2020,A,OM-YO,BY-PM
OscLuc,2022/2023,67,-41.29907,174.74699,Oscar,Lucy,2,2,2,2,.UB-UB,.UB-UB,,None,2,2,2018/2019,FL,2019/2020,A,OM-YO,BY-PM
OtiMil,2021/2022,29,-41.30077,174.74533,Otis,Milo,2,2,2,0,BP22807,BP22808,,None,1,1,2020/2021,P,2020/2021,FL,YY-PM,PM-GB
OtiMil,2021/2022,82,-41.30097,174.74565,Otis,Milo,2,2,2,1,BP22864,BP22865,,None,2,2,2020/2021,P,2020/2021,FL,YY-PM,PM-GB
OtiMil,2022/2023,13,-41.30047,174.74594,Otis,Milo,2,2,2,1,BP22895,BP22896,,None,1,1,2020/2021,P,2020/2021,FL,YY-PM,PM-GB
OtiMil,2022/2023,62,-41.30088,174.74554,Otis,Milo,2,2,2,1,BP24529,BP24530,,None,2,2,2020/2021,P,2020/2021,FL,YY-PM,PM-GB
OttLin,2020/2021,24,-41.29614403,174.7469,Otto,Linghi,2,0,0,0,NA,,,E,1,1,2018/2019,P,2019/2020,A,OM-BB,BS-SM
OttLin,2020/2021,47,0,0,Otto,Linghi,2,0,0,0,NA,,,None,2,2,2018/2019,P,2019/2020,A,OM-BB,BS-SM
OttLin,2020/2021,60,0,0,Otto,Linghi,2,2,2,2,BP22729,BP22730,,None,3,3,2018/2019,P,2019/2020,A,OM-BB,BS-SM
PabMus,2022/2023,55,-41.30085,174.74252,Pablo,Mustard,2,2,2,2,BP23456,BP24553,,None,1,2,2021/2022,P,2018/2019,A,GM-BG,BM-GO
PapPep,2021/2022,22,-41.30153,174.74223,Paprika,Pepper,2,1,1,1,BP19429,,,None,1,1,2019/2020,P,2015/2016,FL,SM-WR,PBM-WY
PapPep,2021/2022,70,-41.30172,174.74257,Paprika,Pepper,2,2,2,2,BP22845,BP22844,,None,2,2,2019/2020,P,2015/2016,FL,SM-WR,PBM-WY
PapPep,2022/2023,10,-41.30135,174.74243,Paprika,Pepper,2,2,2,2,BP23453,BP23454,,None,1,1,2019/2020,P,2015/2016,FL,SM-WR,PBM-WY
PapPep,2022/2023,69,-41.30145,174.74266,Paprika,Pepper,2,0,0,0,,,,E,2,2,2019/2020,P,2015/2016,FL,SM-WR,PBM-WY
PapPep,2022/2023,90,-41.30141,174.74277,Paprika,Pepper,2,2,2,2,BP23462,BP24570,,None,3,3,2019/2020,P,2015/2016,FL,SM-WR,PBM-WY
PatFit,2015/2016,18,-41.29948899,174.744377,Patrick,Fitz,2,0,0,0,,,,None,1,1,2014/2015,P,2012/2013,A+,FPR-GM,YPB-YM
PatFit,2015/2016,42,-41.299822,174.744287,Patrick,Fitz,2,0,0,0,,,,None,2,2,2014/2015,P,2012/2013,A+,FPR-GM,YPB-YM
PatFit,2015/2016,63,-41.29983198,174.744079,Patrick,Fitz,2,2,0,0,,,,C,3,3,2014/2015,P,2012/2013,A+,FPR-GM,YPB-YM
PatFit,2016/2017,16,-41.29998202,174.743817,Patrick,Fitz,2,2,1,1,BP13880,,,None,1,1,2014/2015,P,2012/2013,A+,FPR-GM,YPB-YM
PatFit,2016/2017,68,-41.29959502,174.744361,Patrick,Fitz,2,0,0,0,,,,E,2,2,2014/2015,P,2012/2013,A+,FPR-GM,YPB-YM
PatFit,2016/2017,86,-41.29995796,174.74434,Patrick,Fitz,3,2,0,0,,,,None,3,3,2014/2015,P,2012/2013,A+,FPR-GM,YPB-YM
PatFit,2017/2018,28,-41.30012903,174.743983,Patrick,Fitz,2,1,1,1,BP11390,,,None,1,1,2014/2015,P,2012/2013,A+,FPR-GM,YPB-YM
PatFit,2017/2018,85,-41.299792,174.744111,Patrick,Fitz,2,2,2,2,BP17443,BP17444,,None,2,2,2014/2015,P,2012/2013,A+,FPR-GM,YPB-YM
PatFit,2018/2019,15,-41.29983198,174.744349,Patrick,Fitz,2,2,2,2,BP17588,BP19332,,None,1,1,2014/2015,P,2012/2013,A+,FPR-GM,YPB-YM
PatFit,2018/2019,71,-41.299865,174.744154,Patrick,Fitz,2,1,1,1,BP19317,,,None,3,2,2014/2015,P,2012/2013,A+,FPR-GM,YPB-YM
PatMad,2018/2019,38,-41.30038904,174.742977,Patrick,Madonna,2,2,2,2,BP17561,BP17562,,None,2,1,2014/2015,P,2015/2016,A,FPR-GM,PBM-WK
PatMad,2019/2020,13,-41.30036004,174.743103,Patrick,Madonna,2,2,1,0,BP19353,BP19354,,None,1,1,2014/2015,P,2015/2016,A,FPR-GM,PBM-WK
PatMad,2019/2020,64,-41.30007296,174.743325,Patrick,Madonna,2,0,0,0,,,,E,2,2,2014/2015,P,2015/2016,A,FPR-GM,PBM-WK
pBpFit,2014/2015,75,-41.29951699,174.745143,pBpB-YM,Fitz,3,2,1,1,BP10126,BP10127,,None,1,2,2013/2014,J,2012/2013,A+,PBPB-YM,YPB-YM
PepBoo,2019/2020,33,-41.29893403,174.745947,Pepe,Piper,2,0,0,0,,,,,1,1,2017/2018,P,2018/2019,A,PGM-OPG,OO-BM
PepBoo,2019/2020,61,-41.29906696,174.745842,Pepe,Piper,2,2,2,2,BP19433,BP19434,,,2,2,2017/2018,P,2018/2019,A,PGM-OPG,OO-BM
PepCer,2020/2021,103,-41.29828,174.74643,Pepe,Cersei,2,0,0,0,NA,,,E,2,3,2017/2018,P,2014/2015,P,PGM-OPG,GM-YR
PepGam,2021/2022,3,-41.29876,174.74582,Pepe,Gamble,2,1,0,0,NA,,,C,1,1,2017/2018,P,2016/2017,P,PGM-OPG,RM-YG
PepGam,2021/2022,32,-41.29866,174.7457,Pepe,Gamble,2,1,0,0,,,,None,2,2,2017/2018,P,2016/2017,P,PGM-OPG,RM-YG
PepGam,2021/2022,68,-41.2989,174.74553,Pepe,Gamble,3,2,2,2,BP22846,BP22847,,None,3,3,2017/2018,P,2016/2017,P,PGM-OPG,RM-YG
PepGam,2022/2023,2,-41.29866,174.7458,Pepe,Gamble,2,0,0,0,,,,None,1,1,2017/2018,P,2016/2017,P,PGM-OPG,RM-YG
PepGam,2022/2023,34,-41.2987,174.74582,Pepe,Gamble,2,2,1,1,BP24505,,,None,2,2,2017/2018,P,2016/2017,P,PGM-OPG,RM-YG
PetHei,2019/2020,51,-41.29807798,174.746245,Peter,Heidi,2,2,2,2,BP19392,BP19393,,None,1,1,2018/2019,P,2018/2019,P,WG-OM,OM-RK
PicMus,2020/2021,49,-41.30040899,174.742718,Pickle,Mustard,2,0,0,0,NA,,,E,1,2,2019/2020,A,2018/2019,A,SM-OS,BM-GO
PicMus,2020/2021,76,-41.30044302,174.743242,Pickle,Mustard,3,3,3,3,BP22748,BP22747,BP22746,None,2,3,2019/2020,A,2018/2019,A,SM-OS,BM-GO
PieApp,2017/2018,40,-41.29898499,174.745672,Pie,Apple,2,2,1,1,BP17415,,,None,1,1,2015/2016,A,2016/2017,FL,PBM-WB,RM-OW
PipTyu,2022/2023,59,-41.30055,174.7429,Pippin,Tyuk,2,2,2,2,BP24552,BP24554,,None,1,2,2021/2022,P,2019/2020,A,GM-WB,SM-WS
RapApr,2014/2015,13,-41.30096203,174.745096,Raphael,April,2,1,1,0,BP10158,,,None,1,1,2012/2013,A+,2013/2014,A,RG-YM,YM-RG
